<DATE>,<OPEN>,<CLOSE>
20040203,56.15,56.25
20040206,55.1,54.74
20040209,55.3,56.19
20040212,55.77,55.87
20040215,56.1,56.3
20040218,56.84,55.03
20040221,54.98,55.22
20040224,54.22,55.89
20040227,56.05,57.61
20040301,56.82,55.92
20040304,56.14,54.46
20040307,54.68,54.77
20040310,55.79,56.49
20040313,56.07,54.98
20040316,56.69,55.9
20040319,54.85,53.77
20040322,54.88,54.36
20040325,53.61,53.75
20040328,53.54,52.86
20040331,53.62,54.68
20040403,55.67,56.44
20040406,56.84,55.06
20040409,56.73,57.03
20040412,57.64,58.76
20040415,60.19,60.61
20040418,61.04,60.44
20040421,60.48,59.62
20040424,58.9,58.01
20040427,57.85,58.9
20040430,62.07,62.26
20040503,60.91,62.18
20040506,61.88,61.22
20040509,61.43,60.19
20040512,60.41,60.32
20040515,60.42,60.8
20040518,60.87,60.89
20040521,61.17,61.59
20040524,60.55,59.12
20040527,59.06,57.63
20040530,57.72,58.66
20040602,59.26,58.21
20040605,57.35,57.68
20040608,57.28,56.96
20040611,57.56,56.57
20040614,56.17,55.37
20040617,54.33,53.47
20040620,54.15,54.2
20040623,53.32,53.09
20040626,51.45,50.72
20040629,52.87,52.78
20040702,53.51,53.44
20040705,53.79,54.46
20040708,53.35,53.32
20040711,54.9,54.1
20040714,53.54,53.23
20040717,53.5,54.02
20040720,55.29,55.79
20040723,55.73,56.99
20040726,57.69,56.2
20040729,58.72,60.49
20040801,60.32,60.7
20040804,62.03,61.85
20040807,62.58,63.69
20040810,62.67,62.07
20040813,62.99,63.45
20040816,64.38,64.25
20040819,63.96,61.96
20040822,60.81,60.86
20040825,61.68,62.21
20040828,62.09,61.81
20040831,62.03,62.11
20040903,63.51,63.66
20040906,62.18,60.91
20040909,62.43,61.26
20040912,62.02,61.75
20040915,61.58,61.45
20040918,62.67,62.48
20040921,62.44,60.91
20040924,61.12,61.65
20040927,61.89,63.29
20040930,63.34,63.64
20041003,65.29,63.74
20041006,63.28,64.71
20041009,65.65,66.32
20041012,67.16,67.48
20041015,69.12,69.49
20041018,69.73,69.89
20041021,70.08,68.93
20041024,69.7,69.57
20041027,71.39,71.31
20041030,71.74,71.98
20041102,71.36,72.35
20041105,74.25,74.24
20041108,73.94,73.58
20041111,71.69,71.51
20041114,71.76,72.82
20041117,73.78,73.36
20041120,73.09,74.21
20041123,74.04,73.53
20041126,74.92,75.96
20041129,75.97,75.38
20041202,73.37,73.96
20041205,73.06,71.1
20041208,72.68,73.33
20041211,72.19,70.98
20041214,71.85,70.97
20041217,72.27,72.88
20041220,73.42,73.83
20041223,74.02,74.9
20041226,74.44,74.53
20041229,75.28,75.84
20050101,74.65,74.15
20050104,74.4,73.99
20050107,75.77,75.38
20050110,75.21,75.98
20050113,76.31,76.17
20050116,75.41,75.71
20050119,76.75,77.23
20050122,76.45,78.19
20050125,76.74,75.16
20050128,76.12,76.35
20050131,75.8,74.7
20050203,77.02,77.14
20050206,77.67,77.99
20050209,78.42,78.96
20050212,79.7,79.32
20050215,79.03,77.29
20050218,76.51,76.78
20050221,77.82,78.42
20050224,78.08,76.82
20050227,74.04,75.19
20050302,74.6,74.16
20050305,74.29,72.88
20050308,72.53,74.56
20050311,75.06,75.42
20050314,73.84,76.08
20050317,74.66,76.58
20050320,74.47,75.87
20050323,77.49,76.67
20050326,77.09,77.64
20050329,76.82,75.37
20050401,74.05,74.6
20050404,74.51,73.95
20050407,74.91,75.42
20050410,74.67,73.46
20050413,73.99,73.45
20050416,73.55,75.13
20050419,75.63,74.77
20050422,74.93,73.97
20050425,75.58,75.02
20050428,75.23,75.54
20050501,75.69,73.74
20050504,72.29,71.84
20050507,72.16,72.02
20050510,71.06,69.71
20050513,69.31,68.84
20050516,69.36,69.03
20050519,69.63,69.04
20050522,68.78,68.43
20050525,67.65,68.28
20050528,67.46,66.94
20050531,66.87,65.57
20050603,65.25,64.53
20050606,64.15,64.09
20050609,63.29,63.07
20050612,64.38,64.35
20050615,65.49,65.84
20050618,66.62,65.84
20050621,65.95,66.08
20050624,65.47,64.64
20050627,63.15,64.65
20050630,63.68,65.02
20050703,64.56,63.69
20050706,64.32,63.69
20050709,64.25,63.92
20050712,64.4,63.43
20050715,64.26,64.75
20050718,63.83,66.48
20050721,67.02,69.31
20050724,70.91,70.72
20050727,70.31,69.9
20050730,68.07,67.38
20050802,67.62,69.15
20050805,68.38,69.26
20050808,68.01,67.42
20050811,66.96,67.33
20050814,67.79,68.75
20050817,69.52,69.77
20050820,70.16,71.75
20050823,71.24,72.01
20050826,70.2,70.61
20050829,70.13,70.13
20050901,71.17,71.34
20050904,72.22,73.7
20050907,74.09,75.26
20050910,74.93,74.92
20050913,74.4,75.44
20050916,75.86,75.35
20050919,75.5,76.54
20050922,76.51,75.56
20050925,75.69,73.71
20050928,74.48,74.06
20051001,73.59,74.46
20051004,73.1,75.04
20051007,74.56,74.04
20051010,75.06,75.77
20051013,78.22,78.01
20051016,77.89,76.41
20051019,76.08,75.36
20051022,74.91,73.16
20051025,74.82,73.41
20051028,70.61,69.42
20051031,68.81,67.66
20051103,68.76,68.62
20051106,68.65,69.26
20051109,69.55,70.52
20051112,69.42,68.87
20051115,69.53,67.0
20051118,65.62,66.13
20051121,65.64,66.58
20051124,67.39,66.19
20051127,66.6,67.8
20051130,67.95,66.97
20051203,67.85,68.49
20051206,69.03,69.74
20051209,66.75,67.63
20051212,69.44,69.87
20051215,70.07,70.76
20051218,71.1,71.75
20051221,71.76,70.99
20051224,69.98,68.99
20051227,67.61,66.55
20051230,68.31,69.06
20060102,68.44,68.05
20060105,68.16,67.5
20060108,67.57,68.35
20060111,68.31,68.65
20060114,69.53,69.26
20060117,69.55,69.24
20060120,69.21,68.88
20060123,68.36,68.53
20060126,69.1,69.24
20060129,69.74,69.0
20060201,67.8,68.22
20060204,68.9,68.95
20060207,70.3,71.21
20060210,73.89,73.69
20060213,72.69,71.95
20060216,71.38,71.86
20060219,69.7,71.02
20060222,70.78,70.54
20060225,69.46,69.34
20060228,69.36,69.23
20060303,69.57,68.98
20060306,68.09,68.64
20060309,68.73,68.93
20060312,69.99,68.97
20060315,68.11,69.37
20060318,67.89,66.58
20060321,67.39,67.63
20060324,67.74,67.65
20060327,67.68,67.59
20060330,68.94,68.54
20060402,68.38,70.18
20060405,70.2,72.44
20060408,72.33,73.7
20060411,72.04,72.2
20060414,70.61,71.46
20060417,70.24,70.53
20060420,70.25,69.09
20060423,67.47,66.96
20060426,68.7,68.4
20060429,69.32,69.26
20060502,70.14,68.31
20060505,67.91,68.86
20060508,68.7,68.61
20060511,68.18,69.33
20060514,69.63,69.67
20060517,70.31,70.9
20060520,71.11,72.66
20060523,72.6,72.88
20060526,72.24,72.39
20060529,73.97,73.33
20060601,72.2,73.19
20060604,73.05,73.14
20060607,73.1,73.18
20060610,74.03,73.19
20060613,72.18,72.26
20060616,70.65,69.28
20060619,71.15,71.9
20060622,71.89,73.13
20060625,72.09,71.78
20060628,72.4,73.29
20060701,73.8,71.26
20060704,70.29,70.77
20060707,70.42,72.96
20060710,73.88,74.44
20060713,73.32,73.29
20060716,73.53,74.66
20060719,75.54,76.57
20060722,75.65,77.06
20060725,75.68,75.14
20060728,75.57,75.42
20060731,74.42,73.6
20060803,72.05,72.58
20060806,73.84,73.74
20060809,73.34,71.87
20060812,72.78,74.99
20060815,73.19,72.13
20060818,71.45,70.89
20060821,71.11,72.73
20060824,73.74,74.26
20060827,73.54,72.42
20060830,71.62,73.17
20060902,73.11,72.66
20060905,72.48,73.3
20060908,71.99,73.41
20060911,73.56,73.35
20060914,73.79,74.01
20060917,73.66,73.41
20060920,72.54,73.2
20060923,72.67,71.71
20060926,71.88,73.21
20060929,73.16,72.55
20061002,72.95,74.89
20061005,73.44,73.82
20061008,74.03,75.19
20061011,76.18,75.99
20061014,74.31,75.11
20061017,74.28,73.33
20061020,74.48,73.57
20061023,74.97,75.31
20061026,75.63,75.93
20061029,74.3,72.52
20061101,72.73,73.3
20061104,73.39,72.56
20061107,72.58,72.5
20061110,71.54,72.56
20061113,70.83,71.42
20061116,71.8,72.81
20061119,71.8,71.91
20061122,74.08,74.74
20061125,74.84,75.38
20061128,75.46,77.66
20061201,78.64,78.55
20061204,78.81,78.42
20061207,79.63,78.22
20061210,76.61,78.07
20061213,80.23,80.69
20061216,80.81,81.46
20061219,80.82,80.99
20061222,81.03,81.65
20061225,80.1,79.59
20061228,80.43,79.76
20061231,78.77,80.81
20070103,80.85,80.27
20070106,78.57,79.3
20070109,80.0,79.7
20070112,78.6,78.58
20070115,77.74,76.8
20070118,76.7,75.64
20070121,75.89,76.5
20070124,75.66,74.29
20070127,75.85,74.91
20070130,74.25,74.47
20070202,75.06,74.81
20070205,75.27,74.87
20070208,73.9,75.32
20070211,77.81,79.51
20070214,79.65,81.48
20070217,81.84,81.36
20070220,81.83,81.73
20070223,80.75,79.85
20070226,80.65,78.81
20070301,79.41,77.78
20070304,75.66,73.82
20070307,75.79,75.59
20070310,75.68,77.1
20070313,78.03,76.64
20070316,77.51,77.69
20070319,77.35,77.38
20070322,78.66,77.77
20070325,78.17,78.16
20070328,76.36,75.56
20070331,75.76,77.05
20070403,78.05,78.65
20070406,77.84,79.64
20070409,79.85,78.85
20070412,78.66,79.56
20070415,79.57,80.45
20070418,81.56,81.96
20070421,81.1,81.24
20070424,81.28,83.14
20070427,81.51,81.38
20070430,80.8,81.13
20070503,78.69,79.81
20070506,79.82,77.98
20070509,77.62,78.22
20070512,76.63,76.64
20070515,75.58,75.02
20070518,75.05,75.23
20070521,74.76,75.04
20070524,75.85,75.57
20070527,77.01,78.47
20070530,78.04,77.4
20070602,75.74,75.61
20070605,75.25,76.03
20070608,74.52,74.24
20070611,75.21,74.48
20070614,73.72,72.27
20070617,74.89,74.14
20070620,72.84,72.04
20070623,71.26,70.99
20070626,71.82,71.52
20070629,70.6,69.15
20070702,69.17,69.21
20070705,70.74,70.83
20070708,70.74,69.68
20070711,69.38,68.94
20070714,68.57,67.61
20070717,68.15,68.01
20070720,67.81,66.09
20070723,66.59,67.07
20070726,66.23,67.22
20070729,65.86,65.84
20070801,65.57,64.25
20070804,64.44,66.14
20070807,66.21,65.75
20070810,66.19,66.3
20070813,66.33,65.9
20070816,67.32,67.78
20070819,67.25,67.14
20070822,66.4,65.79
20070825,65.15,64.02
20070828,64.8,64.5
20070831,65.06,64.39
20070903,64.33,63.62
20070906,64.34,64.09
20070909,63.36,61.72
20070912,61.99,61.28
20070915,61.27,60.78
20070918,61.73,62.27
20070921,62.72,62.11
20070924,62.57,64.29
20070927,63.45,63.63
20070930,61.98,63.38
20071003,62.98,63.76
20071006,62.04,63.83
20071009,63.48,64.02
20071012,64.17,63.92
20071015,65.6,63.96
20071018,64.26,65.17
20071021,65.14,65.02
20071024,64.88,63.65
20071027,63.69,64.2
20071030,64.27,63.99
20071102,63.51,63.23
20071105,64.48,62.4
20071108,62.44,62.11
20071111,63.57,63.62
20071114,65.11,62.98
20071117,63.44,63.72
20071120,65.11,63.47
20071123,63.32,63.38
20071126,62.89,64.1
20071129,63.76,65.8
20071202,66.85,67.8
20071205,68.36,67.3
20071208,66.87,67.44
20071211,68.12,69.43
20071214,68.96,68.1
20071217,68.96,68.15
20071220,69.02,70.22
20071223,70.68,70.32
20071226,70.36,70.95
20071229,70.96,73.16
20080101,72.17,71.17
20080104,70.19,69.6
20080107,67.42,66.79
20080110,66.14,66.22
20080113,66.64,65.4
20080116,66.3,68.1
20080119,67.89,69.46
20080122,69.66,71.65
20080125,72.77,71.21
20080128,71.22,72.28
20080131,72.31,72.27
20080203,73.54,72.83
20080206,72.85,73.17
20080209,72.84,72.82
20080212,73.59,74.03
20080215,73.22,72.11
20080218,71.33,71.33
20080221,71.17,70.33
20080224,69.74,68.22
20080227,68.63,68.59
20080301,67.33,67.36
20080304,68.71,67.97
20080307,69.28,68.96
20080310,69.16,69.25
20080313,70.65,70.81
20080316,69.67,68.36
20080319,66.83,65.12
20080322,65.16,64.2
20080325,64.12,63.42
20080328,62.65,62.17
20080331,62.87,63.8
20080403,64.17,63.18
20080406,63.82,64.51
20080409,64.79,64.18
20080412,64.89,65.32
20080415,62.2,62.84
20080418,60.93,61.59
20080421,61.44,62.63
20080424,62.53,61.65
20080427,61.5,62.56
20080430,62.59,62.47
20080503,63.22,63.43
20080506,63.42,64.79
20080509,66.34,66.96
20080512,66.67,68.17
20080515,69.35,70.07
20080518,68.85,68.99
20080521,68.25,68.09
20080524,68.33,68.43
20080527,67.96,69.23
20080530,67.53,68.26
20080602,66.4,66.79
20080605,65.9,66.78
20080608,66.87,67.11
20080611,66.09,65.44
20080614,65.65,66.23
20080617,69.16,69.38
20080620,70.36,68.8
20080623,67.47,67.12
20080626,65.92,67.41
20080629,67.0,68.38
20080702,69.86,69.91
20080705,70.41,70.35
20080708,70.89,71.37
20080711,71.25,71.76
20080714,73.48,74.19
20080717,74.52,74.64
20080720,73.63,72.6
20080723,72.93,71.56
20080726,70.79,72.07
20080729,73.99,72.32
20080801,73.95,73.74
20080804,73.72,73.61
20080807,74.69,73.08
20080810,73.54,72.59
20080813,73.16,74.7
20080816,74.7,75.08
20080819,75.49,74.69
20080822,76.2,77.91
20080825,78.61,78.68
20080828,78.22,77.59
20080831,79.3,80.72
20080903,80.66,79.08
20080906,76.24,75.16
20080909,75.03,76.43
20080912,75.78,76.28
20080915,77.59,77.71
20080918,77.57,76.26
20080921,75.06,75.48
20080924,75.28,75.4
20080927,75.35,76.02
20080930,75.23,74.9
20081003,76.79,75.99
20081006,75.71,75.12
20081009,75.57,76.59
20081012,76.09,75.66
20081015,75.38,75.91
20081018,75.17,74.79
20081021,72.42,71.04
20081024,70.93,71.83
20081027,72.12,71.02
20081030,69.62,69.8
20081102,68.14,69.21
20081105,69.27,67.67
20081108,66.7,65.98
20081111,65.2,63.71
20081114,62.84,62.15
20081117,61.44,62.57
20081120,62.67,61.68
20081123,61.35,60.47
20081126,60.17,61.04
20081129,61.29,63.58
20081202,63.96,63.04
20081205,63.85,64.93
20081208,66.03,64.93
20081211,64.78,65.92
20081214,64.23,63.73
20081217,62.31,61.37
20081220,60.36,61.61
20081223,61.38,60.51
20081226,59.48,59.62
20081229,59.61,60.95
20090101,61.45,60.02
20090104,59.39,60.46
20090107,59.84,61.58
20090110,60.48,61.05
20090113,60.19,59.68
20090116,60.78,60.65
20090119,61.46,61.94
20090122,62.69,61.8
20090125,61.58,62.01
20090128,61.16,62.79
20090131,62.01,61.71
20090203,60.7,58.56
20090206,60.36,60.15
20090209,59.7,59.5
20090212,60.92,59.96
20090215,60.64,60.21
20090218,59.62,60.19
20090221,61.17,60.66
20090224,59.89,58.72
20090227,59.83,59.25
20090302,57.4,58.81
20090305,57.44,58.22
20090308,58.4,58.69
20090311,58.11,58.47
20090314,56.81,57.39
20090317,58.95,59.83
20090320,57.81,56.83
20090323,56.64,57.13
20090326,57.02,56.53
20090329,57.13,58.29
20090401,58.06,58.79
20090404,56.21,55.27
20090407,54.95,54.46
20090410,54.79,55.81
20090413,56.31,55.69
20090416,54.17,54.72
20090419,52.89,53.54
20090422,53.35,52.18
20090425,52.46,52.46
20090428,52.42,52.34
20090501,52.76,53.68
20090504,54.18,55.19
20090507,55.15,56.77
20090510,57.34,56.79
20090513,55.7,55.91
20090516,54.6,53.63
20090519,53.86,53.26
20090522,52.32,52.29
20090525,52.36,52.16
20090528,51.78,52.63
20090531,52.98,52.75
20090603,55.22,55.41
20090606,56.54,55.98
20090609,54.62,53.83
20090612,53.56,53.06
20090615,54.4,54.28
20090618,54.74,54.69
20090621,54.26,54.3
20090624,56.01,55.24
20090627,56.01,54.98
20090630,54.52,54.53
20090703,54.85,56.34
20090706,56.29,55.44
20090709,56.09,55.73
20090712,55.97,55.85
20090715,53.91,54.42
20090718,55.0,55.93
